TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
314	1	315008	315018	10.1.2.2	10.1.3.1	6	10	0	0
315	1	316006	316011	10.1.2.2	10.1.1.1	6	5	0	0
316	1	317005	317014	10.1.2.2	10.1.5.1	6	9	0	0
317	1	318008	318013	10.1.2.2	10.1.1.1	6	5	0	0
318	1	319006	319011	10.1.2.2	10.1.1.1	6	5	0	0
319	1	320005	320010	10.1.2.2	10.1.1.1	6	5	0	0
320	1	321008	321013	10.1.2.2	10.1.1.1	6	5	0	0
321	1	322006	322011	10.1.2.2	10.1.1.1	6	5	0	0
322	1	323005	323010	10.1.2.2	10.1.1.1	6	5	0	0
323	1	324008	324013	10.1.2.2	10.1.1.1	6	5	0	0
324	1	325006	325016	10.1.2.2	10.1.5.1	6	10	0	0
329	1	330315	330354	10.1.2.2	10.1.1.1	6	39	0	0
330	1	331006	331011	10.1.2.2	10.1.1.1	6	5	0	0
331	1	332005	332010	10.1.2.2	10.1.1.1	6	5	0	0
332	1	333008	333018	10.1.2.2	10.1.5.1	6	10	0	0
333	1	334006	334011	10.1.2.2	10.1.1.1	6	5	0	0
334	1	335005	335010	10.1.2.2	10.1.1.1	6	5	0	0
335	1	336008	336013	10.1.2.2	10.1.1.1	6	5	0	0
336	1	337006	337011	10.1.2.2	10.1.1.1	6	5	0	0
337	1	338005	338010	10.1.2.2	10.1.1.1	6	5	0	0
338	1	339008	339013	10.1.2.2	10.1.1.1	6	5	0	0
339	1	340006	340011	10.1.2.2	10.1.1.1	6	5	0	0
340	1	341005	341010	10.1.2.2	10.1.1.1	6	5	0	0
341	1	342008	342018	10.1.2.2	10.1.5.1	6	10	0	0
342	1	343006	343011	10.1.2.2	10.1.1.1	6	5	0	0
343	1	344005	344010	10.1.2.2	10.1.1.1	6	5	0	0
344	1	345008	345013	10.1.2.2	10.1.1.1	6	5	0	0
345	1	346006	346011	10.1.2.2	10.1.1.1	6	5	0	0
346	1	347005	347010	10.1.2.2	10.1.1.1	6	5	0	0
347	1	348008	348013	10.1.2.2	10.1.1.1	6	5	0	0
348	1	349006	349011	10.1.2.2	10.1.1.1	6	5	0	0
349	1	350005	350010	10.1.2.2	10.1.1.1	6	5	0	0
350	1	351008	351013	10.1.2.2	10.1.1.1	6	5	0	0
351	1	352006	352011	10.1.2.2	10.1.1.1	6	5	0	0
352	1	353005	353010	10.1.2.2	10.1.1.1	6	5	0	0
353	1	354008	354013	10.1.2.2	10.1.1.1	6	5	0	0
354	1	355006	355011	10.1.2.2	10.1.1.1	6	5	0	0
355	1	356005	356010	10.1.2.2	10.1.1.1	6	5	0	0
356	1	357008	357018	10.1.2.2	10.1.3.1	6	10	0	0
357	1	358006	358011	10.1.2.2	10.1.1.1	6	5	0	0
358	1	359005	359010	10.1.2.2	10.1.1.1	6	5	0	0
359	1	360008	360013	10.1.2.2	10.1.1.1	6	5	0	0
360	1	361006	361011	10.1.2.2	10.1.1.1	6	5	0	0
361	1	362005	362010	10.1.2.2	10.1.1.1	6	5	0	0
362	1	363008	363013	10.1.2.2	10.1.1.1	6	5	0	0
363	1	364006	364011	10.1.2.2	10.1.1.1	6	5	0	0
364	1	365005	365010	10.1.2.2	10.1.1.1	6	5	0	0
365	1	366008	366013	10.1.2.2	10.1.1.1	6	5	0	0
366	1	367006	367011	10.1.2.2	10.1.1.1	6	5	0	0
367	1	368005	368010	10.1.2.2	10.1.1.1	6	5	0	0
368	1	369008	369013	10.1.2.2	10.1.1.1	6	5	0	0
369	1	370006	370011	10.1.2.2	10.1.1.1	6	5	0	0
370	1	371005	371010	10.1.2.2	10.1.1.1	6	5	0	0
371	1	372008	372013	10.1.2.2	10.1.1.1	6	5	0	0
372	1	373006	373011	10.1.2.2	10.1.1.1	6	5	0	0
373	1	374005	374010	10.1.2.2	10.1.1.1	6	5	0	0
374	1	375008	375013	10.1.2.2	10.1.1.1	6	5	0	0
375	1	376006	376011	10.1.2.2	10.1.1.1	6	5	0	0
376	1	377005	377010	10.1.2.2	10.1.1.1	6	5	0	0
377	1	378008	378013	10.1.2.2	10.1.1.1	6	5	0	0
378	1	379006	379011	10.1.2.2	10.1.1.1	6	5	0	0
379	1	380005	380010	10.1.2.2	10.1.1.1	6	5	0	0
380	1	381008	381013	10.1.2.2	10.1.1.1	6	5	0	0
381	1	382006	382011	10.1.2.2	10.1.1.1	6	5	0	0
382	1	383005	383010	10.1.2.2	10.1.1.1	6	5	0	0
383	1	384008	384013	10.1.2.2	10.1.1.1	6	5	0	0
384	1	385006	385011	10.1.2.2	10.1.1.1	6	5	0	0
385	1	386005	386010	10.1.2.2	10.1.1.1	6	5	0	0
386	1	387008	387013	10.1.2.2	10.1.1.1	6	5	0	0
387	1	388006	388011	10.1.2.2	10.1.1.1	6	5	0	0
388	1	389005	389010	10.1.2.2	10.1.1.1	6	5	0	0
389	1	390008	390013	10.1.2.2	10.1.1.1	6	5	0	0
390	1	391006	391011	10.1.2.2	10.1.1.1	6	5	0	0
391	1	392005	392010	10.1.2.2	10.1.1.1	6	5	0	0
392	1	393008	393013	10.1.2.2	10.1.1.1	6	5	0	0
393	1	394006	394011	10.1.2.2	10.1.1.1	6	5	0	0
394	1	395005	395010	10.1.2.2	10.1.1.1	6	5	0	0
395	1	396008	396013	10.1.2.2	10.1.1.1	6	5	0	0
396	1	397006	397011	10.1.2.2	10.1.1.1	6	5	0	0
397	1	398005	398010	10.1.2.2	10.1.1.1	6	5	0	0
398	1	399008	399013	10.1.2.2	10.1.1.1	6	5	0	0
399	1	400006	400011	10.1.2.2	10.1.1.1	6	5	0	0
400	1	401005	401010	10.1.2.2	10.1.1.1	6	5	0	0
401	1	402008	402013	10.1.2.2	10.1.1.1	6	5	0	0
402	1	403006	403011	10.1.2.2	10.1.1.1	6	5	0	0
403	1	404005	404010	10.1.2.2	10.1.1.1	6	5	0	0
404	1	405008	405013	10.1.2.2	10.1.1.1	6	5	0	0
405	1	406006	406011	10.1.2.2	10.1.1.1	6	5	0	0
406	1	407005	407010	10.1.2.2	10.1.1.1	6	5	0	0
407	1	408008	408018	10.1.2.2	10.1.3.1	6	10	0	0
408	1	409006	409011	10.1.2.2	10.1.1.1	6	5	0	0
409	1	410005	410010	10.1.2.2	10.1.1.1	6	5	0	0
410	1	411008	411013	10.1.2.2	10.1.1.1	6	5	0	0
411	1	412006	412011	10.1.2.2	10.1.1.1	6	5	0	0
412	1	413005	413010	10.1.2.2	10.1.1.1	6	5	0	0
413	1	414008	414013	10.1.2.2	10.1.1.1	6	5	0	0
414	1	415006	415011	10.1.2.2	10.1.1.1	6	5	0	0
415	1	416005	416010	10.1.2.2	10.1.1.1	6	5	0	0
416	1	417008	417013	10.1.2.2	10.1.1.1	6	5	0	0
417	1	418006	418016	10.1.2.2	10.1.5.1	6	10	0	0
418	1	419005	419010	10.1.2.2	10.1.1.1	6	5	0	0
419	1	420008	420013	10.1.2.2	10.1.1.1	6	5	0	0
420	1	421006	421011	10.1.2.2	10.1.1.1	6	5	0	0
421	1	422005	422010	10.1.2.2	10.1.1.1	6	5	0	0
422	1	423008	423013	10.1.2.2	10.1.1.1	6	5	0	0
