TaskNo.	Using Tdma	SendTime	ReceiveTime	SourceIP	OffLoadingIP	Length	Rtt	isLoad	exceed
308	0	309235	309248	10.1.1.2	10.1.5.1	6	13	0	0
309	0	310004	310013	10.1.1.2	10.1.3.1	6	9	0	0
310	0	311004	311012	10.1.1.2	10.1.5.1	6	8	0	0
311	0	312004	312012	10.1.1.2	10.1.3.1	6	8	0	0
312	0	313004	313013	10.1.1.2	10.1.3.1	6	9	0	0
313	0	314004	314004	10.1.1.2	10.1.1.1	6	0	0	0
314	0	315004	315004	10.1.1.2	10.1.1.1	6	0	0	0
315	0	316004	316013	10.1.1.2	10.1.3.1	6	9	0	0
316	0	317004	317013	10.1.1.2	10.1.3.1	6	9	0	0
317	0	318004	318013	10.1.1.2	10.1.3.1	6	9	0	0
318	0	319004	319013	10.1.1.2	10.1.5.1	6	9	0	0
319	0	320004	320013	10.1.1.2	10.1.5.1	6	9	0	0
320	0	321004	321012	10.1.1.2	10.1.3.1	6	8	0	0
321	0	322004	322013	10.1.1.2	10.1.3.1	6	9	0	0
322	0	323004	323004	10.1.1.2	10.1.1.1	6	0	0	0
323	0	324004	324012	10.1.1.2	10.1.3.1	6	8	0	0
324	0	325004	325005	10.1.1.2	10.1.1.1	6	1	0	0
329	0	330384	330409	10.1.1.2	10.1.1.1	6	25	0	0
330	0	331004	331013	10.1.1.2	10.1.3.1	6	9	0	0
331	0	332004	332013	10.1.1.2	10.1.3.1	6	9	0	0
332	0	333004	333004	10.1.1.2	10.1.1.1	6	0	0	0
333	0	334004	334012	10.1.1.2	10.1.3.1	6	8	0	0
334	0	335004	335014	10.1.1.2	10.1.5.1	6	10	0	0
335	0	336005	336013	10.1.1.2	10.1.3.1	6	8	0	0
336	0	337004	337013	10.1.1.2	10.1.5.1	6	9	0	0
337	0	338004	338004	10.1.1.2	10.1.1.1	6	0	0	0
338	0	339004	339012	10.1.1.2	10.1.5.1	6	8	0	0
339	0	340004	340013	10.1.1.2	10.1.3.1	6	9	0	0
340	0	341004	341012	10.1.1.2	10.1.5.1	6	8	0	0
341	0	342004	342004	10.1.1.2	10.1.1.1	6	0	0	0
342	0	343004	343012	10.1.1.2	10.1.3.1	6	8	0	0
343	0	344004	344014	10.1.1.2	10.1.3.1	6	10	0	0
344	0	345005	345013	10.1.1.2	10.1.3.1	6	8	0	0
345	0	346004	346013	10.1.1.2	10.1.3.1	6	9	0	0
346	0	347004	347004	10.1.1.2	10.1.1.1	6	0	0	0
347	0	348004	348013	10.1.1.2	10.1.5.1	6	9	0	0
348	0	349004	349005	10.1.1.2	10.1.1.1	6	1	0	0
349	0	350004	350013	10.1.1.2	10.1.5.1	6	9	0	0
350	0	351004	351012	10.1.1.2	10.1.3.1	6	8	0	0
351	0	352004	352012	10.1.1.2	10.1.3.1	6	8	0	0
352	0	353004	353013	10.1.1.2	10.1.5.1	6	9	0	0
353	0	354004	354014	10.1.1.2	10.1.5.1	6	10	0	0
354	0	355004	355013	10.1.1.2	10.1.3.1	6	9	0	0
355	0	356004	356012	10.1.1.2	10.1.3.1	6	8	0	0
356	0	357004	357004	10.1.1.2	10.1.1.1	6	0	0	0
357	0	358004	358004	10.1.1.2	10.1.1.1	6	0	0	0
358	0	359004	359013	10.1.1.2	10.1.5.1	6	9	0	0
359	0	360004	360013	10.1.1.2	10.1.5.1	6	9	0	0
360	0	361004	361012	10.1.1.2	10.1.5.1	6	8	0	0
361	0	362004	362013	10.1.1.2	10.1.3.1	6	9	0	0
362	0	363004	363013	10.1.1.2	10.1.5.1	6	9	0	0
363	0	364004	364012	10.1.1.2	10.1.3.1	6	8	0	0
364	0	365004	365013	10.1.1.2	10.1.3.1	6	9	0	0
365	0	366005	366013	10.1.1.2	10.1.3.1	6	8	0	0
366	0	367004	367004	10.1.1.2	10.1.1.1	6	0	0	0
367	0	368004	368004	10.1.1.2	10.1.1.1	6	0	0	0
368	0	369004	369012	10.1.1.2	10.1.3.1	6	8	0	0
369	0	370004	370013	10.1.1.2	10.1.5.1	6	9	0	0
370	0	371004	371013	10.1.1.2	10.1.3.1	6	9	0	0
371	0	372004	372013	10.1.1.2	10.1.3.1	6	9	0	0
372	0	373004	373013	10.1.1.2	10.1.5.1	6	9	0	0
373	0	374004	374013	10.1.1.2	10.1.3.1	6	9	0	0
374	0	375004	375004	10.1.1.2	10.1.1.1	6	0	0	0
375	0	376004	376013	10.1.1.2	10.1.3.1	6	9	0	0
376	0	377004	377012	10.1.1.2	10.1.3.1	6	8	0	0
377	0	378004	378013	10.1.1.2	10.1.3.1	6	9	0	0
378	0	379004	379004	10.1.1.2	10.1.1.1	6	0	0	0
379	0	380004	380013	10.1.1.2	10.1.5.1	6	9	0	0
380	0	381004	381013	10.1.1.2	10.1.5.1	6	9	0	0
381	0	382004	382004	10.1.1.2	10.1.1.1	6	0	0	0
382	0	383004	383012	10.1.1.2	10.1.5.1	6	8	0	0
383	0	384004	384012	10.1.1.2	10.1.5.1	6	8	0	0
384	0	385004	385013	10.1.1.2	10.1.5.1	6	9	0	0
385	0	386004	386012	10.1.1.2	10.1.5.1	6	8	0	0
386	0	387004	387012	10.1.1.2	10.1.5.1	6	8	0	0
387	0	388004	388004	10.1.1.2	10.1.1.1	6	0	0	0
388	0	389004	389004	10.1.1.2	10.1.1.1	6	0	0	0
389	0	390004	390005	10.1.1.2	10.1.1.1	6	1	0	0
390	0	391004	391004	10.1.1.2	10.1.1.1	6	0	0	0
391	0	392004	392012	10.1.1.2	10.1.3.1	6	8	0	0
392	0	393004	393012	10.1.1.2	10.1.5.1	6	8	0	0
393	0	394004	394012	10.1.1.2	10.1.5.1	6	8	0	0
394	0	395004	395013	10.1.1.2	10.1.3.1	6	9	0	0
395	0	396004	396012	10.1.1.2	10.1.3.1	6	8	0	0
396	0	397004	397012	10.1.1.2	10.1.5.1	6	8	0	0
397	0	398004	398013	10.1.1.2	10.1.5.1	6	9	0	0
398	0	399004	399012	10.1.1.2	10.1.5.1	6	8	0	0
399	0	400005	400005	10.1.1.2	10.1.1.1	6	0	0	0
400	0	401004	401012	10.1.1.2	10.1.3.1	6	8	0	0
401	0	402004	402012	10.1.1.2	10.1.5.1	6	8	0	0
402	0	403004	403013	10.1.1.2	10.1.5.1	6	9	0	0
403	0	404004	404004	10.1.1.2	10.1.1.1	6	0	0	0
404	0	405004	405013	10.1.1.2	10.1.5.1	6	9	0	0
405	0	406004	406012	10.1.1.2	10.1.3.1	6	8	0	0
406	0	407004	407013	10.1.1.2	10.1.3.1	6	9	0	0
407	0	408004	408012	10.1.1.2	10.1.3.1	6	8	0	0
408	0	409004	409005	10.1.1.2	10.1.1.1	6	1	0	0
409	0	410004	410013	10.1.1.2	10.1.3.1	6	9	0	0
410	0	411004	411012	10.1.1.2	10.1.3.1	6	8	0	0
411	0	412004	412013	10.1.1.2	10.1.5.1	6	9	0	0
412	0	413004	413012	10.1.1.2	10.1.3.1	6	8	0	0
413	0	414004	414012	10.1.1.2	10.1.3.1	6	8	0	0
414	0	415004	415004	10.1.1.2	10.1.1.1	6	0	0	0
415	0	416004	416005	10.1.1.2	10.1.1.1	6	1	0	0
416	0	417004	417005	10.1.1.2	10.1.1.1	6	1	0	0
417	0	418004	418004	10.1.1.2	10.1.1.1	6	0	0	0
418	0	419004	419012	10.1.1.2	10.1.5.1	6	8	0	0
419	0	420004	420013	10.1.1.2	10.1.3.1	6	9	0	0
420	0	421004	421012	10.1.1.2	10.1.5.1	6	8	0	0
421	0	422004	422012	10.1.1.2	10.1.3.1	6	8	0	0
422	0	423004	423012	10.1.1.2	10.1.3.1	6	8	0	0
423	0	424004	424005	10.1.1.2	10.1.1.1	6	1	0	0
424	0	425004	425005	10.1.1.2	10.1.1.1	6	1	0	0
425	0	426004	426012	10.1.1.2	10.1.5.1	6	8	0	0
426	0	427004	427005	10.1.1.2	10.1.1.1	6	1	0	0
427	0	428004	428012	10.1.1.2	10.1.3.1	6	8	0	0
428	0	429004	429012	10.1.1.2	10.1.3.1	6	8	0	0
429	0	430004	430013	10.1.1.2	10.1.3.1	6	9	0	0
430	0	431004	431012	10.1.1.2	10.1.3.1	6	8	0	0
431	0	432004	432012	10.1.1.2	10.1.3.1	6	8	0	0
432	0	433004	433004	10.1.1.2	10.1.1.1	6	0	0	0
433	0	434005	434014	10.1.1.2	10.1.3.1	6	9	0	0
434	0	435004	435013	10.1.1.2	10.1.5.1	6	9	0	0
435	0	436004	436013	10.1.1.2	10.1.5.1	6	9	0	0
436	0	437004	437004	10.1.1.2	10.1.1.1	6	0	0	0
437	0	438004	438004	10.1.1.2	10.1.1.1	6	0	0	0
438	0	439004	439004	10.1.1.2	10.1.1.1	6	0	0	0
439	0	440004	440013	10.1.1.2	10.1.5.1	6	9	0	0
440	0	441004	441004	10.1.1.2	10.1.1.1	6	0	0	0
441	0	442004	442012	10.1.1.2	10.1.5.1	6	8	0	0
442	0	443004	443005	10.1.1.2	10.1.1.1	6	1	0	0
443	0	444004	444012	10.1.1.2	10.1.5.1	6	8	0	0
444	0	445004	445013	10.1.1.2	10.1.3.1	6	9	0	0
445	0	446004	446004	10.1.1.2	10.1.1.1	6	0	0	0
446	0	447004	447012	10.1.1.2	10.1.5.1	6	8	0	0
447	0	448004	448013	10.1.1.2	10.1.5.1	6	9	0	0
448	0	449004	449012	10.1.1.2	10.1.5.1	6	8	0	0
449	0	450004	450004	10.1.1.2	10.1.1.1	6	0	0	0
450	0	451004	451012	10.1.1.2	10.1.3.1	6	8	0	0
451	0	452004	452013	10.1.1.2	10.1.5.1	6	9	0	0
452	0	453004	453012	10.1.1.2	10.1.3.1	6	8	0	0
453	0	454004	454013	10.1.1.2	10.1.3.1	6	9	0	0
454	0	455004	455013	10.1.1.2	10.1.5.1	6	9	0	0
455	0	456004	456012	10.1.1.2	10.1.5.1	6	8	0	0
456	0	457004	457004	10.1.1.2	10.1.1.1	6	0	0	0
